"","date","negative","positive","sentiment"
"199",2014-11-06,21,54,0.44
"200",2014-12-04,21,50,0.408450704225352
"201",2015-01-22,27,58,0.364705882352941
"202",2015-03-05,17,60,0.558441558441558
"203",2015-04-15,15,63,0.615384615384615
"204",2015-06-03,15,57,0.583333333333333
"205",2015-07-16,13,65,0.666666666666667
"206",2015-09-03,29,56,0.317647058823529
"207",2015-10-22,21,58,0.468354430379747
"208",2015-12-03,18,60,0.538461538461538
"209",2016-01-21,21,62,0.493975903614458
"210",2016-03-10,26,59,0.388235294117647
"211",2016-04-21,13,53,0.606060606060606
"212",2016-06-02,16,58,0.567567567567568
"213",2016-07-21,13,63,0.657894736842105
"214",2016-09-08,12,56,0.647058823529412
"215",2016-10-20,13,56,0.623188405797101
"216",2016-12-08,13,53,0.606060606060606
"217",2017-01-19,12,51,0.619047619047619
"218",2017-03-09,13,41,0.518518518518518
"219",2017-04-27,15,40,0.454545454545455
"220",2017-06-08,10,46,0.642857142857143
"221",2017-07-20,12,46,0.586206896551724
"222",2017-09-07,11,42,0.584905660377358
"223",2017-10-26,11,44,0.6
"224",2017-12-14,9,42,0.647058823529412
"225",2018-01-25,11,43,0.592592592592593
"226",2018-03-08,10,40,0.6
"227",2018-04-26,9,42,0.647058823529412
"228",2018-06-14,10,43,0.622641509433962
"229",2018-07-26,8,40,0.666666666666667
"230",2018-09-13,9,37,0.608695652173913
"231",2018-10-25,11,36,0.531914893617021
"232",2018-12-13,15,33,0.375
"233",2019-01-24,13,25,0.315789473684211
"234",2019-03-07,16,28,0.272727272727273
"235",2019-04-10,16,24,0.2
"236",2019-06-06,15,31,0.347826086956522
"237",2019-07-25,15,32,0.361702127659574
"238",2019-09-12,21,45,0.363636363636364
"239",2019-10-24,17,42,0.423728813559322
"240",2019-12-12,11,42,0.584905660377358
"241",2020-01-23,15,42,0.473684210526316
"242",2020-03-12,31,51,0.24390243902439
"243",2020-04-30,39,68,0.271028037383178
"244",2020-06-04,35,60,0.263157894736842
"245",2020-07-16,35,75,0.363636363636364
"246",2020-09-10,22,68,0.511111111111111
"247",2020-10-29,40,55,0.157894736842105
"248",2020-12-10,41,65,0.226415094339623
